大众,朗行,2015款,8.69,8.78,2016-06,1.97,国五,1.6,L,110,L,4,0,2020-6,2019-6,已过期,6,AT
海马,M3 1.5L,2015款,3.17,6.20,2016-01,2.79,国五,1.5,L,112,L,4,0,2020-1,2020-1,已过期,5,MT
本田,飞度,2018款,7.50,9.30,2018-09,0.72,国五,1.5,L,131,L,4,2,2020-9,2019-9,2019-9,1,CVT
大众,桑塔纳,2013款,3.49,3.61,2013-11,6.08,国四,1.6,L,110,L,4,0,2019-11,2019-12,已过期,5,MT
大众,POLO 1.4L,2013款,3.97,10.30,2014-01,4.98,国四,1.4,L,86,L,4,0,2020-1,2020-1,已过期,5,MT
大众,宝来,2013款,5.89,13.00,2013-03,3.14,国四,1.6,L,105,L,4,0,2020-3,2020-3,2020-3,6,AT
标致,308 1.6L,2012款,3.42,12.40,2012-10,7.13,国四,1.6,L,106,L,4,0,2019-10,2019-10,已过期,4,AT
本田,锋范,2015款,7.06,11.50,2015-11,1.81,国五,1.5,L,131,L,4,0,2019-11,2019-11,2019-10,1,CVT
雪佛兰,科鲁兹,2017款,7.50,13.60,2017-08,1.22,国五,1.5,L,114,L,4,0,2019-8,2019-8,已过期,6,AT
大众,朗行,2013款,7.75,16.40,2015-06,2.85,国四,1.4,T,131,L,4,0,2021-6,2019-6,已过期,7,DCT
大众,迈腾,2011款,8.41,24.60,2011-05,2.7,国四,1.8,T,160,L,4,0,2019-5,2019-5,已过期,6,DCT
大众,POLO 1.4L,2016款,4.43,8.20,2016-03,3.25,国五,1.4,L,90,L,4,0,2020-3,2020-3,已过期,5,MT
大众,朗行,2013款,7.75,16.60,2015-05,4.66,国五,1.6,L,110,L,4,0,2021-5,2020-4,2020-4,6,AT
大众,朗逸,2013款,5.32,12.30,2013-04,4.79,国四,1.6,L,110,L,4,0,2020-4,2020-4,已过期,5,MT
别克,英朗,2013款,6.04,16.60,2015-01,4.68,国五,1.6,L,121,L,4,1,2021-1,2019-12,已过期,6,AT
大众,桑塔纳,2013款,4.34,4.52,2013-05,4.81,国四,1.6,L,110,L,4,0,2020-5,2020-5,已过期,5,MT
大众,宝来,2012款,3.59,3.89,2011-11,3.46,国四,1.6,L,105,L,4,0,2019-11,2019-11,已过期,5,MT
雪铁龙,C4L 1.6THP,2013款,6.01,6.19,2013-10,6.32,国四,1.6,T,163,L,4,0,2019-10,2019-10,已过期,6,AT
雪铁龙,C4L 1.8L,2013款,5.45,5.68,2013-10,3.04,国四,1.8,L,139,L,4,0,2019-10,2019-10,已过期,5,MT
长安,睿骋,2014款,6.03,6.27,2015-05,2.52,国五,1.8,T,177,L,4,0,2021-5,2019-6,已过期,6,AT
标致,508 2.0L,2013款,7.35,19.70,2014-10,5.14,国五,2.0,L,147,L,4,0,2020-10,2019-10,已过期,6,AT
大众,POLO 1.4L,2011款,4.49,11.60,2012-11,4.87,国四,1.4,L,86,L,4,0,2019-11,2019-11,2019-11,6,AT
大众,高尔夫,2011款,5.40,15.20,2011-06,6.09,国四,1.6,L,105,L,4,1,2019-6,2019-6,已过期,7,DCT
起亚,K3 1.6L,2013款,4.86,12.50,2014-03,3.57,国四,1.6,L,128,L,4,0,2020-3,2020-3,已过期,6,MT
福特,福克斯,2017款,7.30,15.10,2016-10,3.79,国五,1.6,L,125,L,4,0,2020-10,2019-9,已过期,6,DCT
马自达,6 2.0L,2012款,5.85,19.50,2012-12,9.15,国四,2.0,L,147,L,4,0,2019-12,2019-12,已过期,5,AT
大众,POLO 1.4L,2011款,2.77,9.30,2012-02,10.54,国四,1.4,L,86,L,4,0,2020-2,2020-1,已过期,5,MT
